"ID","klimatischer Stressor","Impact","Branche(n)","Unternehmensbereich","Unternehmen","Land","Naturraum","Beschreibung","Textstelle(n)","Spalte1","Spalte2","Spalte3","Spalte4","Spalte5","Spalte6","Spalte7","Spalte8","Spalte9","Spalte10"
,"Dürre; Starkregen"," Verschlechterung der Brunnenwasserqualität wg. vieler Trübstoffe","Getränkeindustrie; Wasserversorgung"," Rohstoffe","Mineralquelle Eptingen AG; badenova","Schweiz; Deutschland","Tieflagen; mittlere Lagen","Starkregen folgt auf Trockenrisse im Boden --> Niederschlagswasser gelangt schnell in tiefere Schichten --> Verschlechterung Wasserqualität","Ept.: Auf der anderen Seite haben wir eine Oberflächen-, also frei als leitende Quelle in Lostorf, und diese mussten wir im März einstellen weil das Wasser nicht mehr gut war und das hat mit dem Klimawandel zu tun, also weil es so wenig geregnet hat und dann plötzlich auf einmal viel geregnet, hatten wir einen Wassereinbruch und so hatten wir dort eine Einschränkung. D.h. hier  kann  ich  an  sich  auch nichts  machen.  Wir  mussten  diese  Quelle  einstellen  wegen  den klimatischen  Bedingungen,  weil  das  ein  Oberflächenwasser,  also  eine  bisschen  höher gelegene  Quelle  war.","bad: Das Eine ist: Wenn der Boden zu trocken wird verliert er seine Filterwirkung, durch tiefere Rissbildung etc. […] Und die Bodenschicht -wenn es  dann  starken  Regen  gibt –das  ist  die  Qualitätsbeeinträchtigung,  die  wir  haben –dann schlägt  uns  das  Wasser  bis  zum  Brunnen  durch.  Das  sehen  wir  durch  Trübung,  durch Temperatur,und  so  können  wir  natürlich  das  Trinkwasser  nicht  halten.  Dann  schalten  die Anlagen ab, wenn die Trübung zu hoch wird, weil wir keine ausreichende Desinfektionswirkung mehr  hinkriegen  können.  Außerdem  wollen  wir  Trübstoffe  sowieso  nicht  im  Wasser  haben",,,,,,,,,
,"Dürre; Starkregen","Reduzierung bzw. Einstellung der Wasserförderung nach Starkregenereignissen","Getränkeindustrie; Wasserversorgung","Produktion / Betrieb","Mineralquelle Eptingen AG; badenova","Schweiz; Deutschland","Tieflagen; mittlere Lagen",,"Ept.: Auf der anderen Seite haben wir eine Oberflächen-, also frei als leitende Quelle in Lostorf, und diese mussten wir im März einstellen weil das Wasser nicht mehr gut war und das hat mit dem Klimawandel zu tun, also weil es so wenig geregnet hat und dann plötzlich auf einmal viel geregnet, hatten wir einen Wassereinbruch und so hatten wir dort eine Einschränkung. D.h. hier  kann  ich  an  sich  auch nichts  machen.  Wir  mussten  diese  Quelle  einstellen  wegen  den klimatischen  Bedingungen,  weil  das  ein  Oberflächenwasser,  also  eine  bisschen  höher gelegene  Quelle  war.","bad: Das Eine ist: Wenn der Boden zu trocken wird verliert er seine Filterwirkung, durch tiefere Rissbildung etc. […] Und die Bodenschicht -wenn es  dann  starken  Regen  gibt –das  ist  die  Qualitätsbeeinträchtigung,  die  wir  haben –dann schlägt  uns  das  Wasser  bis  zum  Brunnen  durch.  Das  sehen  wir  durch  Trübung,  durch Temperatur,und  so  können  wir  natürlich  das  Trinkwasser  nicht  halten.  Dann  schalten  die Anlagen ab, wenn die Trübung zu hoch wird, weil wir keine ausreichende Desinfektionswirkung mehr  hinkriegen  können.  Außerdem  wollen  wir  Trübstoffe  sowieso  nicht  im  Wasser  haben",,,,,,,,,
,"Dürre; Starkregen","Verlust einer Marke wg. Schließens der Oberflächenwasserquelle","Getränkeindustrie","Absatz","Mineralquelle Eptingen AG ","Schweiz","mittlere Lagen",,"In Lostorf haben wir drei Quellen und eine frei auslaufend und zwei Tiefenbohrungen. Und dann haben wir einfach die Tiefenbohrung genommen. Aber wir verlieren eine Marke, weil in der Schweiz darf man nur pro Quelle eine Marke abfüllen und mehrere Handelsmarken, also No-Names. Z.B. ich erfinde jetzt das Lidl-Wasser, Aldi-Wasser usw. Die verschiedenen Brands–das gilt nicht als Marke. [...]Also wir haben da ein Brand eigentlich verloren",,,,,,,,,,
,"Dürre; Starkregen","steigende Ausgaben für Bodenerosionsschutz","Landwirtschaft","Finanzen",,,,,"Nagy 2017",,,,,,,,,,
,"allgemeiner Temperaturanstieg","verstärkte Bakterienbildung in wärmerem Wasser","Bausektor","Produktion / Betrieb","U2","Deutschland","Tieflagen","Problematisch z. B. in Swimming Pools","Hars et al. S. 24",,,,,,,,,,
,"allgemeiner Temperaturanstieg","Verschwinden energieintensiver Produkte vom Markt --> Umstellung auf neue Arbeitsmaterialien","Bausektor; Verarbeitendes Gewerbe","Betriebsmittel","Z2; Hévron","Deutschland; Schweiz","Tieflagen; mittlere Lagen; Hochlagen","z. B. Verschwinden geschäumter Dämmstoffe, Aufkommen neuer Fenstertypen","Hars et al. S. 32","Aujourd'hui, c'est ça le verre [GC se lève et va chercher un échantillon de verre de façade utilisé actuellement dans la construction]. Avec des valeurs, des ratios, des gaz dedans... c'est du triple vitrage. Il y a quinze ans, on en était encore au double vitrage. Les demandes énergétiques en Suisse avec les minergies, les PMI, etc., oui il y a du changement, oui, et nous devons suivre cette courbe énergétique de plus en plus forte. ",,,,,,,,,
,"allgemeiner Temperaturanstieg","Veränderung von Kundenwünschen --> sinkender Absatz klimaschädlicher Produkte","Bausektor; Verarbeitendes Gewerbe","Absatz","Z2; B1; Hévron","Deutschland; Schweiz","Tieflagen; mittlere Lagen; Hochlagen","z. B. mehr Nachfrage nach PV-Anlagen, natürlichen Dämmstoffen, etc.","Hars et al. S. 32; S. 48","Depuis 5-6 ans, on travaille également plus avec le photovoltaïque, la demande est très forte aujourd'hui. On construit actuellement une tour à Bâle avec les façades en photovoltaïque, ce qui est une première en Suisse. […] si tout à coup... le changement climatique était tel que cela impacterait le marché. Si tout à coup les gens ne veulent plus que du bois, du PVC - c'est une hypothèse inventée certes - nous serons impacté, nous n'aurions plus de travail. C'est peut-être un risque lié à la météo, mais on n'en est pas là pour l'instant. Il faudrait vraiment un évènement majeur qui change radicalement les mœurs et les envies, l'écologie... Il faudrait passer au bois.",,,,,,,,,
,"allgemeiner Temperaturanstieg","Pflicht zur Anschaffung neuer umwelt- und klimafreundlicher Geräte, Maschinen, Fahrzeuge","Logistik","Betriebsmittel","Dischinger","Deutschland","Tieflagen","z. B. Euro 6-Motoren bei Lkw","Und wo wir auch Energie… klar, sag ich mal, Umweltmanagement exzessiv betreiben ist in unserer LKW-Flotte. Wir haben 80% EUR 6(??)-Motoren an unseren LKWs. Natürlich weiß ich nicht, ob die Abgaswerte dann manipuliert sind von den Mercedes, das kann ich nicht sagen, aber...NS: Was für Motoren waren das?KS: EOR 6- Motoren. Der CO2-Ausstoß wird ja…, je moderner der Motor, umso weniger CO2-Ausstoß über den Diesel. Es fängt bei EOR 0 an, das gibt’s in Deutschland nicht mehr, und hört bei EOR 6-Motoren auf, und unser Fuhrpark ist zu 80% schon ausgestattet auf die EOR 6-Motoren. Aber da komm ich jetzt wieder zu dem Punkt: auch nur, weil es uns kostenmäßig Erleichterungen bringt. Beim Spritverbrauch, aber auch was Maut anbelangt. Die LKW-Maut ist gekoppelt an die Motoren",,,,,,,,,,
,"allgemeiner Temperaturanstieg","Erschwerung des Straßengüterverkehrs durch Klimaschutzmaßnahmen wie Umweltzonen, Maut, etc.","Logistik","Produktion / Betrieb",,"Deutschland",,,"Kolhof et al. 2018: Die  Zunahme  der  mittleren  Temperatur  wurde ausschließlich  von  Logistikunternehmen  im LKW-Bereich als relevant angeführt. Dabei ging es in den Interviews vor allem um politische Maßnahmen  und  Reglementierungen,  aktuelle  Debatten  wie  Fahrverbote  in  Innenstädten, Maut  und  generelle  Schadstoffbelastungen,  also  um  die  politischen  Auswirkungen  des Klimawandels  auf  den  Straßengüterverkehr ",,,,,,,,,,
,"allgemeiner Temperaturanstieg","Veränderung von Flora und Fauna sowie Bodenwasserhaushalt --> Trinkwasseraufbereitung wird aufwändiger","Wasserversorgung","Rohstoffe; Produktion / Betrieb","IWB","Schweiz","Tieflagen","Reinigung des Wassers durch Versickerung im Boden und Bakterien / Kleinlebewesen","Und natürlich haben die Klimaveränderungen auch Einfluss auf Flora und Fauna, auch das ist in der Region Basel spürbar. Das hat einen indirekten Einfluss auf unser Geschäft, aber wir nutzen ein relativ großes Gebiet innerhalb von Basel, um dort das Trinkwasser aufzubereiten. Das heißt, wir pumpen Trinkwasser aus dem Rhein in bewaldete Flächen, lassen es dort versickern –deswegen sind diese Flächen, die wir dort nutzen sehr wichtig für unser Kerngeschäft und dort spielt das Thema Biodiversität natürlich auch eine sehr große Rolle. [...]Um die Frage auf die Trinkwasserversorgung in Basel-Stadtzu beziehen: Wir entnehmen dem Rhein  das  Trinkwasser,  das  wir  unseren  Kunden  in  Basel  liefern,  reinigen  es  durch Versickerung im Boden. Das Wasser wird dort durch Bakterien und Kleinlebewesen gereinigt; das  tun  wir  mit  zwei  größeren  Anlagen.  Das  ist  ein  Prozess,  der auch im  europäischen Vergleichdochrecht besonders ist. Wir setzen kein Chlor ein, wir setzen Aktivkohle ein, wir reinigen das Wasser mit UV-Strahlen und sind dort tatsächlich auch darauf angewiesen, dass wir  eine  gute  Wasserqualität  aus  dem  Rhein  haben,  die  wir  entnehmen  können.  Und  die Qualität von Böden –dass wir unsere natürlichen Reinigungsprozesse durchführen können.",,,,,,,,,,
,"allgemeiner Temperaturanstieg","Ausbreitung von Schädlingen, neuen Krankheitserregern und Pilzen --> hohe Verluste einzelner Arten","Forst- und Holzwirtschaft; Landwirtschaft","Rohstoffe","Baumschule Vonderstrass; Forstbetrieb 1","Deutschland","Tieflagen","z. B. Esche durch Schadpilz, Borkenkäfer, Blauzungenkrankheit bei Rindern, Pilzkrankheiten im Weinbau, u.v.m.","Vonderstrass: Das muss man einfach  sehen,  weil  es  einfach  hartnäckige  Dinge  gibt,  grade  bei  den  Schädlingen  war dieses Jahr extrem.","Forstbetrieb: Und halt der Klimawandel allgemein, (...) Trockenperioden gibt und höhere Flächentemperaturen und die Wärmefolgen, zum Beispiel der Borkenkäfer.","Nagy 2017",,,,,,,,
,"allgemeiner Temperaturanstieg","Verstärkter Einsatz von Pestiziden und Medikamenten --> höhere Ausgaben und negative Folgewirkungen auf Ökosysteme und Tiere","Landwirtschaft","Rohstoffe; Finanzen",,"Deutschland",,"z. B. Antibiotika in der Viehhaltung zur Vermeidung von Seuchen","Nagy 2017",,,,,,,,,,
,"allgemeiner Temperaturanstieg","zeitliche Verschiebung gewohnter naturnaher Unternehmensabläufe","Landwirtschaft","Rohstoffe; Management; Produktion / Betrieb",,,,"z. B. wg. Früherer Ernte oder Saat, oder längeren Weidezeiten","Stech 2021",,,,,,,,,,
,"allgemeiner Temperaturanstieg","mehr Laubholz in holzverarbeitenden Betrieben --> anderer Holzaufbau des Laubholzes verursacht technische Probleme","Forst- und Holzwirtschaft","Betriebsmittel",,,,"z. B. in Sägewerken oder als Konstruktionsholz",,,,,,,,,,,
,"allgemeiner Temperaturanstieg","Veränderung der Baumartenzusammensetzung in Nutzwäldern --> Verdrängung weniger thermophiler Arten, z. B. Fichte","Forst- und Holzwirtschaft","Rohstoffe ","Sägewerk 1","Deutschland",,,"Sägewerk: Man weiß nichtwas kommt, wenn man  sieht  was  so  im  Harz  oder  Sauerland  da mit  dem  Käfer  ist.  Die  haben  vielleicht  noch  3 Jahre Arbeit in den Fichten und dann sind die Fichten dort weg. Ja was machst du dann? Keine Ahnung, aber ich denke, dann wird das Forstgeschäft ziemlich schwierig werden.",,,,,,,,,,
,"allgemeiner Temperaturanstieg","Zurückhaltung bei Investitionen wg. Ungewissheit von Klimaprognosen","Forst- und Holzwirtschaft; Landwirtschaft","Management; Unternehmen gesamt","Sägewerk 3","Deutschland","Hochlagen"," (z. B. Baumwachstum)","Säge 3: S: Wo sehen Sie in Ihrem Unternehmen konkreten Anpassungsbedarf undSchwierigkeiten bei deren Umsetzung (finanziell, gesetzlich, zeitlich, etc.) : „Ja,  ich,  also  ich  hab mich  ganz  leicht  Abgedeckt  abgesehen  weil  auch  viel  von  der  Politik abhängt.  Hm  denn  ja  also  natürlich  die  Zukunftsinvestitionen  werden  schwer  planbarer dadurch.","Stech 2021",,,,,,,,,
,"allg. Temperaturanstieg","erschwerte Planbarkeit von Arbeiten im Außenbereich","Bausektor","Management","Z1","Deutschland","Tieflagen","wg. Verschiebung der Jahreszeiten, Hitzewellen, Extremwetter; Änderung der konventionellen saisonalen Planungen & Auftragsvolumina nötig","Hars et al S. 28 unten",,,,,,,,,,
,"allg. Temperaturanstieg; Starkregen","Zunahme der Bodenfeuchte im Winterhalbjahr --> Zunahme von Bodenverschlämmung, Staunässe und Bodenverdichtung bei unsachgemäßer Bearbeitung --> schlechtere Durchwurzelbarkeit","Landwirtschaft","Rohstoffe",,,,,"Nagy 2017",,,,,,,,,,
,"allg. Temperaturanstieg; Starkregen","zunehmend milde, feuchte Winter --> schlammiger Boden --> eingeschränkte Befahrbarkeit mit schweren Geräten ","Forst- und Holzwirtschaft; Landwirtschaft","Produktion / Betrieb",,,,"Gründe: Maschinen bleiben stecken, Gefahr von Bodenverdichtung und Bodenzerstörung","Graphic Novel, Daniel Kraus","Nagy 2017",,,,,,,,,
,"allg. Temperaturanstieg; Dürre; Hitze; Sturm","zunehmende Waldschäden und geringeres Holzwachstum - v.a. bei wenig trockenresistenten Arten (Fichte, Tanne, auch Kiefer, Buche) --> langfristig Verknappung von Nutzholz, steigende Preise","Forst- und Holzwirtschaft","Rohstoffe","Holzbearbeitung Heinzelmann; Forst 1; Sägewerk 3; Sägewerk 1; Baumschule Vonderstrass","Deutschland","Tieflagen; mittlere Lagen; Hochlagen",,"HH: Dürren und Trockenheit ist ein ganz großes Thema was die Wälder angeht, das kriegensie ja sicher auch mit in Ihrem Studiengang. Dem Schwarzwald geht es nicht gut. Wir haben ein massives Insektenproblem was die Fichten angeht, die Tannen werden nicht  ausreichend  mit  Wasser  versorgt  und  das  wiederum  führt ja zu  einem  großen Holzaufkommen   hier [...]  In  den Rheinebenen ist es ja ähnlich, da sieht es ja auch katastrophal aus, da geht die Kiefer kaputt [...] ich weiß es aber von Erzählungen, da gibt es wirklich Berge, Berggruppen (...) am Rhein und  da  steht  nur  noch  (...)  diese  braunen  Bäume  also  diese  insektenbefallenen, abgestorbenenBäume.","Forst 1:  Dürre,  Trockenheit  nimmt  man  auch  sehr  stark  war,  weil  unserer  Arbeitswelt,  die Wälder, die Bäume, gehen ja kaputt [...] grade zum Klimawandel in der Forstwirtschaft, […] Die Bestände/Waldbestände wo  jetzt  300  Jahre  gewachsen  gehen  gehen  innerhalb  von  nem  halben  Jahr/Jahr  kaputt und dann muss mans umstellen.","Säge 3: Die  Klimakrise  oder  sagen  wir  auch  die  Waldbauliche  Krise,die  macht  uns  auf Dauer zu schaffen. Wir haben im Momentja also sehr viel Holz deshalb haben wir auch Arbeit ohne Ende wir haben mehr Umsatz eigentlich. Müssen mehr arbeiten, dürfen mehr arbeiten wie die Jahre vorher. Aber irgendwann ist das Holz, das man jetzt verschleudert und schnell setzt, eben weg","Säge 1: Also  unser Problem ist hauptsächlich die Hitzewelle und die Trockenheit. [...] Stürme natürlich  ist  ein  Problem.  Aber  wie  soll  man  sich  darauf  vorbereiten? Letztendlichwird  es  so enden, dass der Einkaufsradius steigt. Und dass es halt immer schwieriger ist die Qualitäten zu kriegen, die man sich eigentlich wünscht. Ich denke mal, dass es in ein paar Jahren schwierig wird schöne Fichten zukriegen","Vonderstrass: das ist eigentlich  das  Haupt  Thema,  dass  man  sich  mit  dem  Sortiment  auf  die  Gegebenheiten anpassen  muss.  Also  sprich schaut,  dass  man  halt  wirklich  trocken,  heiß  verträgliche Pflanzen hat.“",,,,,,
,"allg. Temperaturanstieg; Dürre; Hitze; Sturm","Waldschäden nehmen zu --> große Menge von Holz auf dem Weltmarkt --> kurzfristig sinkende bzw. schwankende Holzpreise","Forst- und Holzwirtschaft","Absatz","Holzbearbeitung Heinzelmann; Sägewerk 3","Deutschland","mittlere Lagen; Hochlagen",,"HH: Dürren und Trockenheit ist ein ganz großes Thema was die Wälder angeht, das kriegensie ja sicher auch mit in Ihrem Studiengang. Dem Schwarzwald geht es nicht gut. Wir haben ein massives Insektenproblem was die Fichten angeht, die Tannen werden nicht  ausreichend  mit  Wasser  versorgt  und  das  wiederum  führt ja zu  einem  großen Holzaufkommen   hier. (...)  jetztdieses   Jahr (...)  Tannefast   umsonst   gekriegt.","Säge 3: klar gibts da schon Zerwürfnisse auf dem Markt durch die Stürme. Wenn die Stürme in einer anderen Region treffen, dann können wir das Sturmholz bloß schwer zu uns in Schwarzwald hoch karren. Das ist von der Umwelt her nicht sinnvoll und ist halt teuerund so und drum haben wir dann das billige Holz haben dann andere und dann verdienen wir nichts,wenn irgendwoanders Sturmist. Und das ist insgesamtfür den Markt halt total schlecht,wenn die Sachen nicht reguliert ablaufen. Man kann vielleicht mal einen schnellen Euro machen aber auf  die  gesamte  Zeitgesehen  ist  es  halt  für  einen  Säger  am  besten,  wenn  die  Preise  recht kontinuierlich  sind unddie  Schwankungen  im  Prinzip  machen  also,  die  Stürme  sind  unser echtes Problem. Und eben auch dann Dürre und Trockenheit, wenn es dann so extrem Dürr ist, dass unser Holz abstirbt, dann auf jeden Fallauch",,,,,,,,,
,"allg. Temperaturanstieg; Dürre; Hitze; Sturm","mehr Käfer- und Schadholz --> Absatzschwierigkeiten wg. schlechtem Image","Forst- und Holzwirtschaft","Rohstoffe; Absatz",,,,,,,,,,,,,,,
,"allg. Temperaturanstieg; Dürre; Hitze; Sturm","mehr Käfer-, Sturm- und Schadholz --> Arbeitsspitzen nehmen zu","Forst- und Holzwirtschaft","Management; Personal","Sägewerk 1; Holzbearbeitung Heinzelmann; Forstbetrieb 1; Sägewerk 3","Deutschland","mittlere Lagen; Hochlagen","z. T. auch wegen Zwangshieben","Sägewerk: Das hat aber auch damit zu tun, dass wir im Frühjahr da viel Sturmholz gehabt haben und dass wir auf jeden Fall aufgearbeitet werden musste, egal ob es jetzt in der Sägeindustrie läuft oder nicht […] Ich mein klar, die  Katastrophen  werden,  ich nehmean,  die  werden  zunehmen.  Es  wird  mehr Sturmgeben oder Trockenschäden oder so im Wald. Ob wir da drauf reagieren sollten als Forstunternehmer weiß  ich  nicht.  Ich  meine  einige  haben  sich  da  vergrößert  dieses  Jahr  und  in  Maschinen investiert. [...] Und dann  hast  du  kurzzeitig  mal  ein  viertel  Jahr,  halbes  Jahr wahnsinnige viel Arbeit und dann kann es aber auch sein, dass es irgendwie wieder einbricht wieder.","HH: Stürme spielen  natürlich  eine  große  Rolle,  weil  eben  auch  viele  Bäume  fallen, abknicken, abbrechen(...) erstmal aufgearbeitet werden müssen.","Forst 1: Die Stürme sind bei uns dann auch immer so eine Arbeitsspitze, also nach einem Sturm, da haben wir immer sehr viel zu tun.","Säge 3: Die  Klimakrise  oder  sagen  wir  auch  die  Waldbauliche  Krise,die  macht  uns  auf Dauer zu schaffen. Wir haben im Momentja also sehr viel Holz deshalb haben wir auch Arbeit ohne Ende wir haben mehr Umsatz eigentlich. Müssen mehr arbeiten, dürfen mehr arbeiten wie die Jahre vorher. Aber irgendwann ist das Holz, das man jetzt verschleudert und schnell setzt, eben weg",,,,,,,
,"allg. Temperaturanstieg; Dürre; Hitze; Sturm","bei Waldschäden Gefahr der Borkenkäferausbreitung in geschwächten Bäumen oder trocken gelagertem Holz","Forst- und Holzwirtschaft","Rohstoffe",,,,,,,,,,,,,,,
,"allg. Temperaturanstieg; Dürre; Hitze; Sturm","erhöhter Wasserbedarf bei Nasslagerung von Sturm- oder Schadholz","Forst- und Holzwirtschaft","Kritische Infrastrukturen; Finanzen",,,,,,,,,,,,,,,
,"allg. Temperaturanstieg; Dürre; Hitze; Sturm","Kahlschläge zur Verhinderung von Borkenkäferplagen --> Lärmbelästigung durch (Motorrad-)Verkehr nimmt zu, da schallschluckende Wirkung des Waldes fehlt","Forst- und Holzwirtschaft","Rohstoffe; Sonstige (Imageschaden)","Holzbearbeitung Heinzelmann","Deutschland","mittlere Lagen; Hochlagen",,"HH: Und ja (...) grad so im Südschwarzwald, da hat mir neulich jemand erzählt, da passieren Dinge, die hat man gar nicht so auf dem Schirm. Da haben die eben auch so eine Berggruppe gehabt, da mussten  die  komplett  roden,  also  wirklich  Kahlhieb  machen  und  dann  hatte diesen  Berg(...), Bergwand gar keinen Baum mehr stehen und irgendwie kommen da relativviele Motorradfahrer  aus  der  Schweiz  und  die  Bewohner  in  diesem  Ort,  die  drehen  jetzt  am Wochenende durch,weil man die Lärmbelastung wohl nicht auf dem Schirm hatte. Der Wald hat wohl den Lärm immer ganz gut geschluckt von den Motorradfahrern und das ist jetzt nicht  mehr  so  und  jetzt  haben  die  Bewohner  wirklich  massiv  Probleme,",,,,,,,,,,
,"allg. Temperaturanstieg; Dürre; Hitze; Sturm; Starkregen","steigende Ausgaben und Geschäftsrisiken durch verschiedene Klimaanpassungsmaßnahmen","Forst- und Holzwirtschaft","Unternehmen (gesamt)","Sägewerk 1","Deutschland","mittlere Lagen; Hochlagen","z. B. für Ausbau der Lagerkapazitäten, Wasserverbrauch bei Nasslager, etc.","Säge 1: Der  Einkaufsradius  wird  sich erhöhen, was natürlich mehr Geld kostet, Transportkosten. […] Was auch ist, dass man vielleicht mehr Holz aufs Lager setzen muss, falls es immer mal Lücken gibt,  wo  kein  Holz  gebracht  wird.  Was  ja  auch  ein finanziellerAufwand  ist,  weil  man  alles vorfinanzieren muss. Das nächste ist, dass man sich eigentlich das Risiko sich ins Haus holt. Sobald es eigentlich gekauft geht das Risiko auf mich über. [...] Nasslager ja aber im Momenthaben wir eigentlich schon angefangen mit dem Trockenlager. Weil Nasslager ist ja dann doch nochmal ein ganz anderer finanziellerAufwand.",,,,,,,,,,
,"allg. Temperaturanstieg; Dürre; Hitze; Sturm","zunehmende Waldschäden --> Landschaftsbild verändert sich negativ --> Imageschaden als Tourismusregion","Tourismus","Absatz",,,,,"Kolb & Konrad 2021",,,,,,,,,,
,"Hochwasser","Überflutung des Betriebsgeländes durch ausufernde Flüsse --> mögliche Schäden an Gebäuden, Betriebsmitteln und gelagerter Ware durch eindringendes Wasser","Bausektor; Verarbeitendes Gewerbe","Betriebsmittel","D2; Hévron","Deutschland; Schweiz","Tieflagen; mittlere Lagen",,"Hars et al, S. 41","Hévron: On sait que nous sommes dans une zone inondable. Après, on sait qu'on est considéré dans une zone inondable, mais cela fait trente ans qu'on y vit et on sait pourquoi on est considéré comme tels, cependant il y a eu tellement de changements, il y a eu tellement eu de choses, d'inondations dans le coin... mais finalement nous, ça va, ce n'est pas si inondable que ça, ça ne nous touche pas. [...] ils ( Anm. les informaticiens) nous ont fait faire une redondance de serveur dans un endroit loin de la boîte, dans un bunker en hauteur, sur un gros socle en béton. C'est là que se trouve notre sauvegarde, si jamais il y a un incendie et que tout le système informatique saute, ou un gros piratage... On a tenu compte ici de la menace des inondations. ",,,,,,,,,
,"Hochwasser; Starkregen ","Stromausfälle, Schäden an Servern und IT-Infrastruktur","Verarbeitendes Gewerbe","Kritische Infrastruktur","Hévron","Schweiz","mittlere Lagen",,"On sait que nous sommes dans une zone inondable. Après, on sait qu'on est considéré dans une zone inondable, mais cela fait trente ans qu'on y vit et on sait pourquoi on est considéré comme tels, cependant il y a eu tellement de changements, il y a eu tellement eu de choses, d'inondations dans le coin... mais finalement nous, ça va, ce n'est pas si inondable que ça, ça ne nous touche pas. [...] ils ( Anm. les informaticiens) nous ont fait faire une redondance de serveur dans un endroit loin de la boîte, dans un bunker en hauteur, sur un gros socle en béton. C'est là que se trouve notre sauvegarde, si jamais il y a un incendie et que tout le système informatique saute, ou un gros piratage... On a tenu compte ici de la menace des inondations. ",,,,,,,,,,
,"Hochwasser; Starkregen ","Austritt wassergefährdender Stoffe, z. B. Öl, Chemikalien, Baustoffe, etc. --> Umweltverschmutzung, Risiko der Haftbarmachung","Verarbeitendes Gewerbe; Logistik","Betriebsmittel","Hévron; Hafen Kehl","Schweiz; Deutschland","mittlere Lagen",,"Mais si une fois l'eau sort de la rivière - la Sorne -  ce serait embêtant. Mais nous travaillons l'acier donc ça va. Ce qu'on a dû faire par contre, au niveau environnemental, c'est mettre tous nos produits de peinture, de colle, dans une zone sure, au cas où il y aurait un incendie ou une inondation. Avant, on avait un vieux container avec nos peintures au bord de la rivière, franchement, c'était dangereux. Maintenant, tout est entreposé dans une belle zone ""ex"" [non-inondable]. Si une fois il devait y avoir une inondation et que tout était inondé, quand on voit notre site, il pourrait se passer la chose suivante :  nos employés ne pourraient plus travailler, le temps qu'il y ait de l'eau par terre.","HKE: Es gibt ja diese Hochwassergefahrenkarten, die man nachschauen kann. Auch die Versicherungen verlangen den Nachweis zu führen heutzutage, was kann bei euch passieren bei extremen Wasserspiegellagen. Dem muss man schon Rechnungen tragen und auch einen Notfallplane aufstellen wie beispielsweise [...] oder große Betriebe mit Chemikalien, die müssen da schon den Nachweis führen.",,,,,,,,,
,"Hochwasser ","Restriktionen bei Unternehmenserweiterung wg. Standort im Hochwassergebiet","Forst- und Holzwirtschaft","Unternehmen (Standort)","Schreinerei Burkard","Deutschland","Tieflagen","Investitionen werden verhindert --> Standortwechsel als Strategie","Jetzt ist die Überlegung: was macht man? Investiert man in den Standort oder nicht? Von daher wirkt sich die Gefährdung negativ auf die mögliche Entwicklung aus, weil man zögert und überlegt: bringt es was jetzt zu investieren? Beziehungsweise - dann ist da noch überhaupt die Thematik mit baulichen Maßnahmen. Diese bekommt man zum Teil nicht genehmigt, weil es ein Überschwemmungsgebiet ist. Also da steht dann auch irgendwo der Hochwasserschutz mit dem Baugesetz im Wiederspruch. Von daher ist die zukunftsweisende Ausrichtung beeinflusst durch die Gefährdung. Sodass man sagt: Ja, man muss vielleicht einen Standortwechsel vornehmen, wenn es sich wirtschaftlich abbilden lässt.",,,,,,,,,,
,"Hochwasser","zu hohe Versicherungsbeträge bei Lage in HQ-Gebiet (EU-Richtlinie) --> fehlender Versicherungsschutz","Forst- und Holzwirtschaft","Unternehmen (Standort); Finanzen","Holzbearbeitung Heinzelmann","Deutschland","mittlere Lagen","Versicherungsbetrag stark gestiegen wg. Hochwasserrahmenrichtlinie --> kann sich Unternehmen nicht mehr leisten","HH: Überschwemmungen und  Starkregen  ist  schon ein Problem. Unser Werk liegt direkt der Kinzig, die fließt direkt in den Rhein, kriegt man Probleme mit der Versicherung, also wir haben ja zum Beispiel keinen Hochwasserschutz mehr,   die   haben   da   einfach   Umrüstungsmaßnahmen   von   uns   erwartet,   die   von Unternehmen in unserer Größenordnung einfach nicht mehr zu tragen sind. Also und wir sehen die Gefahr ja auch nicht vor. Es gab schon ein Hochwasser inder Vergangenheit, auch   massive   Hochwasser, weiß   jetzt   auch nicht,ob   die   Firma   da   komplett weggeschwommen  ist,  und  wenn  man  dann  die  Versicherungsbeiträge  in  Relation  sieht, das  passt  einfach  nicht  mehr.  Und  dann  hat  man  sich  entschieden,  dass  auch  ohne Versicherung zu machen und selbst denke ich, weitere Vorkehrungen zu treffen, die auch irgendwo dem Risiko gerecht werden.",,,,,,,,,,
